,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
143,29256846,2023 Mitsubishi RVR SEL,2023.0,0.0,Calgary,AB,Automatic,37368.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
144,29203770,2023 Mitsubishi RVR SEL AWC,2023.0,0.0,Saint John,NB,Automatic,34937.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
145,29368665,2021 Mitsubishi RVR,2021.0,28330.0,Hamilton,ON,Automatic,27995.0,2.0,4.0,0.1,0.010000000000000002,28.33,802.5888999999999,24403.647744766444,28888.668446754833,33272.84690560637,False,False
146,28745810,2023 Mitsubishi RVR SE,2023.0,0.0,Calgary,AB,Automatic,31068.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
147,28758362,2022 Mitsubishi RVR 2.4L SE AWC - CVT,2022.0,17000.0,London,ON,CVT,27250.0,1.0,1.0,0.11,0.0121,17.0,289.0,26501.442439373484,30826.91128660591,35899.57999183463,False,False
148,28643285,2021 Mitsubishi RVR SE BACKUP CAMERA BLIND SPOT DETECTION HEATED SEATS,2021.0,24872.0,Calgary,AB,Automatic,28488.0,2.0,4.0,0.1,0.010000000000000002,24.872,618.616384,24317.184915251466,28961.89380471137,33397.671812081455,False,False
149,28850269,2017 Mitsubishi RVR LIMITED 4WD *FREE ACCIDENT* CERTIFIED CAMERA BLUETOOTH HEATED SEATS CRUISE ALLOYS,2017.0,142700.0,Milton,ON,Automatic,17995.0,6.0,36.0,0.06,0.0036,142.7,20363.289999999997,15544.791608545189,18687.621087326108,21223.26961226603,False,False
150,29126132,2020 Mitsubishi RVR ES,2020.0,68047.0,Greenwood,NS,Automatic,24888.0,3.0,9.0,0.09,0.0081,68.047,4630.394209,22693.15429708836,26215.40665476099,29716.164753185774,False,False
151,28835518,2018 Mitsubishi RVR SE Awd Limited Edition Toit Panoramique,2018.0,80501.0,Laval,QC,Automatic,22899.0,5.0,25.0,0.07,0.004900000000000001,80.501,6480.411001,18505.04034079041,22528.043926596925,25309.211648621484,False,False
152,28745814,2023 Mitsubishi RVR GT,2023.0,0.0,Calgary,AB,Automatic,41268.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,True
153,28761406,2013 Mitsubishi RVR SE,2013.0,165000.0,Sherwood Park,AB,Automatic,12900.0,10.0,100.0,0.02,0.0004,165.0,27225.0,8206.048443397696,11371.575357157984,14034.043748141394,False,False
154,27511090,2014 Mitsubishi RVR GT AWD 4dr CVT GT,2014.0,156782.0,Ottawa,ON,CVT,15495.0,9.0,81.0,0.03,0.0009,156.782,24580.595524000004,9988.603042987692,13296.436644113139,15783.540555281266,False,False
